dilnytsia,Шарій,ОПЗЖ,Наш Край,ЄС,Омельченко,Хвиля,Пропозиція,Пальчевський,Ляшко,Еко партія Берези
800086,13,66,4,94,63,0,5,20,1,5
800087,15,67,5,136,51,1,7,41,1,3
800088,19,39,0,159,18,5,3,17,0,6
800089,30,68,4,180,30,0,2,33,1,8
800090,34,70,5,175,20,2,4,24,0,7
800091,22,71,3,148,23,2,3,17,2,1
800092,28,56,1,184,15,0,2,22,2,0
800093,20,59,4,157,14,0,2,16,1,3
800094,13,74,3,124,19,1,2,30,2,10
800095,20,55,6,198,41,2,3,28,5,5
800096,17,69,2,162,44,0,1,17,2,8
800097,31,63,5,197,36,1,1,25,4,6
800098,25,76,3,188,57,1,1,24,4,4
800099,25,76,3,203,20,1,0,23,3,3
800100,20,52,1,140,4,0,0,16,2,2
800101,31,64,2,115,16,3,1,25,3,2
800102,33,77,3,149,17,0,2,20,1,5
800103,15,39,2,124,19,3,0,10,1,6
800104,23,32,5,120,5,2,3,11,1,1
800105,28,83,5,216,63,1,0,28,7,7
800106,31,63,1,175,28,4,1,25,4,8
800107,27,58,5,244,30,3,3,37,3,9
800108,19,47,4,192,26,1,0,24,2,2
800109,24,85,4,150,45,2,1,25,2,4
800110,23,76,4,228,47,2,3,40,2,4
800111,25,50,3,184,99,1,1,18,5,11
800112,20,46,3,138,102,0,1,23,4,3
800113,13,43,1,236,51,2,2,28,1,5
800114,21,65,1,190,87,3,2,16,0,2
800115,19,44,2,206,58,2,1,21,5,4
800116,31,81,2,153,54,2,4,28,2,2
800117,25,57,2,133,90,0,1,22,0,1
800118,26,73,6,227,82,2,2,41,3,2
800119,26,68,6,207,77,2,2,28,3,2
800120,8,38,4,127,103,1,1,22,2,2
800121,13,42,1,119,94,1,1,27,1,3
800122,22,69,6,171,154,1,2,47,3,1
800123,15,71,1,182,128,0,1,36,2,4
800124,20,71,0,213,74,0,1,31,1,6
800125,30,47,4,153,82,0,1,18,3,8
800126,15,44,1,156,51,3,0,25,1,7
800127,20,39,2,151,182,0,2,29,3,2
800128,17,43,1,159,106,1,1,16,3,3
800129,22,68,0,193,54,2,0,32,8,4
800130,24,81,7,206,39,1,1,32,4,8
800131,29,38,1,186,32,0,3,28,9,4
800132,25,79,6,138,30,1,0,35,5,5
800133,28,48,3,156,78,1,3,40,1,6
800134,25,43,2,139,33,10,1,31,0,2
800135,14,34,3,86,45,0,4,26,5,2
800136,9,57,5,137,37,0,3,28,2,3
800137,22,56,1,139,111,0,2,40,7,12
800138,24,75,3,157,62,1,2,41,8,4
800139,11,38,2,113,133,1,0,35,3,3
800140,20,49,6,192,63,1,4,39,2,6
800141,15,47,3,154,123,4,7,34,2,3
800142,16,59,4,142,100,0,2,37,3,5
800143,18,53,3,132,33,1,2,181,1,3
800144,26,62,1,126,40,3,1,200,3,4
800145,17,52,5,127,29,0,1,242,2,0
800146,10,47,1,111,27,0,3,172,0,5
800147,20,50,1,124,45,0,0,233,1,0
800148,7,34,1,115,33,0,1,222,4,2
800149,14,49,5,152,25,3,1,321,6,2
800150,23,54,1,346,15,0,1,91,7,6
800151,15,75,1,281,24,4,0,34,0,3
800152,13,87,3,352,31,0,0,36,5,0
800153,18,57,0,276,41,1,0,37,4,7
800154,23,72,2,312,32,1,0,39,3,4
800155,18,72,2,393,37,1,0,40,1,5
800156,9,40,3,338,42,0,0,28,4,5
800157,12,63,3,284,26,0,2,18,2,3
800158,20,64,2,207,53,4,0,28,4,8
800159,15,32,2,175,16,1,0,11,0,1
800160,25,23,0,87,282,3,3,11,0,0
800161,20,49,1,78,400,2,0,18,1,2
800162,19,47,0,90,282,0,0,31,3,5
800163,14,29,0,60,396,2,0,10,2,3
900164,25,24,2,51,349,0,3,14,1,1
800165,10,27,1,101,343,2,1,21,1,0
800166,14,56,0,66,349,1,0,15,1,1
800167,12,45,4,97,390,4,1,15,0,3
800168,20,70,0,104,96,0,3,24,1,1
800169,29,56,2,129,99,0,2,20,1,2
800170,22,50,3,126,245,0,0,19,0,5
800171,19,67,5,108,104,0,2,48,2,2
800172,15,62,4,136,120,1,1,18,5,0
800173,21,51,3,175,112,2,0,25,4,3
800174,24,77,3,177,100,3,0,20,1,3
800175,11,48,0,67,71,0,0,13,0,3
800176,9,64,4,161,89,0,1,26,2,6
800177,18,75,I,146,115,2,1,29,2,4
800178,25,49,8,168,77,1,1,23,3,6
800179,9,62,5,104,77,2,0,21,6,5
800180,9,39,3,84,117,4,1,16,3,2
800181,20,60,2,115,75,0,2,31,2,6
800182,26,38,3,121,146,3,2,27,6,5
800183,14,53,3,113,110,3,0,15,1,4
800184,16,53,3,121,219,4,1,33,3,1
800185,20,46,1,72,237,1,1,8,1,3
800186,18,27,4,59,245,0,5,16,0,3
800187,26,46,2,97,314,0,0,20,2,4
800188,15,37,6,66,298,1,3,13,4,4
800189,12,48,I,92,319,0,1,15,5,5
800190,4,35,7,117,329,1,3,22,1,5
800191,24,46,4,173,226,0,1,16,3,5
800192,6,24,1,36,89,1,0,16,2,3
800193,22,52,4,80,259,1,2,23,3,7
800194,15,60,1,93,216,0,2,32,2,3
800195,0,6,0,12,176,0,1,1,0,0
800196,23,62,8,192,164,0,1,21,1,2
800197,19,51,0,141,160,1,1,15,6,6
800198,15,40,3,136,150,0,3,18,2,5
800199,14,67,2,131,111,0,1,3,5,2
800200,11,45,1,135,78,0,3,17,0,4
800201,12,48,3,84,145,0,2,25,2,9
800202,13,56,1,104,294,1,0,12,0,4
800203,16,32,3,101,228,4,1,21,2,1
800204,7,27,1,84,199,0,0,10,4,3
800205,14,33,5,173,60,1,0,21,5,3
800206,14,88,3,274,97,0,5,66,0,6
